Date,SP500,IBM
2021-07-27,4401.4599609375,136.47227478027344
2021-07-28,4400.64013671875,135.53536987304688
2021-07-29,4419.14990234375,135.68833923339844
2021-07-30,4395.259765625,134.76100158691406
2021-08-02,4387.16015625,135.2007598876953
2021-08-03,4423.14990234375,137.73422241210938
2021-08-04,4402.66015625,136.48184204101562
2021-08-05,4429.10009765625,136.49139404296875
2021-08-06,4436.52001953125,137.7533416748047
2021-08-09,4432.35009765625,135.03823852539062
2021-08-10,4436.75,135.1625213623047
2021-08-11,4442.41015625,135.87954711914062
2021-08-12,4460.830078125,136.7781982421875
2021-08-13,4468.0,136.88336181640625
2021-08-16,4479.7099609375,137.27532958984375
2021-08-17,4448.080078125,136.1567840576172
2021-08-18,4400.27001953125,133.33651733398438
2021-08-19,4405.7998046875,131.95028686523438
2021-08-20,4441.669921875,132.9923553466797
2021-08-23,4479.52978515625,133.47991943359375
2021-08-24,4486.22998046875,133.69024658203125
2021-08-25,4496.18994140625,133.70936584472656
2021-08-26,4470.0,132.67686462402344
2021-08-27,4509.3701171875,133.27915954589844
2021-08-30,4528.7900390625,132.85850524902344
2021-08-31,4522.68017578125,134.1682586669922
2021-09-01,4524.08984375,133.1739959716797
2021-09-02,4536.9501953125,133.85276794433594
2021-09-03,4535.43017578125,133.44168090820312
2021-09-07,4520.02978515625,131.988525390625
2021-09-08,4514.06982421875,132.5717010498047
2021-09-09,4493.27978515625,131.68260192871094
2021-09-10,4458.580078125,130.9942626953125
2021-09-13,4468.72998046875,132.07456970214844
2021-09-14,4443.0498046875,130.2294464111328
2021-09-15,4480.7001953125,131.16635131835938
2021-09-16,4473.75,130.43020629882812
2021-09-17,4432.990234375,129.28298950195312
2021-09-20,4357.72998046875,128.4034423828125
2021-09-21,4354.18994140625,127.12236785888672
2021-09-22,4395.64013671875,128.70936584472656
2021-09-23,4448.97998046875,130.71701049804688
2021-09-24,4455.47998046875,131.44358825683594
2021-09-27,4443.10986328125,132.46653747558594
2021-09-28,4352.6298828125,131.42446899414062
2021-09-29,4359.4599609375,133.0592803955078
2021-09-30,4307.5400390625,132.8202667236328
